time,y
1433194983.800,0.120
1433194983.900,0.120
1433194984.000,0.121
1433194984.100,0.121
1433194984.200,0.121
1433194984.300,0.121
1433194984.400,0.121
1433194984.500,0.121
1433194984.600,0.122
1433194984.700,0.122
1433194984.800,0.122
1433194984.900,0.122
1433194985.000,0.122
1433194985.100,0.123
1433194985.200,0.123
1433194985.300,0.123
1433194985.400,0.123
1433194985.500,0.124
1433194985.600,0.124
1433194985.700,0.124
1433194985.800,0.124
1433194985.900,0.124
1433194986.000,0.125
1433194986.100,0.125
1433194986.200,0.125
1433194986.300,0.125
1433194986.400,0.125
1433194986.500,0.125
1433194986.600,0.125
1433194986.700,0.125
1433194986.800,0.125
1433194986.900,0.125
1433194987.000,0.125
1433194987.100,0.125
1433194987.200,0.125
1433194987.300,0.125
1433194987.400,0.125
1433194987.500,0.124
1433194987.600,0.124
1433194987.700,0.124
1433194987.800,0.124
1433194987.900,0.124
1433194988.000,0.123
1433194988.100,0.123
1433194988.200,0.123
1433194988.300,0.122
1433194988.400,0.122
1433194988.500,0.121
1433194988.600,0.121
1433194988.700,0.120
1433194988.800,0.120
1433194988.900,0.120
1433194989.000,0.119
1433194989.100,0.119
1433194989.200,0.118
1433194989.300,0.117
1433194989.400,0.116
1433194989.500,0.116
1433194989.600,0.115
1433194989.700,0.114
1433194989.800,0.114
1433194989.900,0.113
1433194990.000,0.112
1433194990.100,0.112
1433194990.200,0.112
1433194990.300,0.111
1433194990.400,0.111
1433194990.500,0.110
1433194990.600,0.110
1433194990.700,0.110
1433194990.800,0.109
1433194990.900,0.109
1433194991.000,0.108
1433194991.100,0.108
1433194991.200,0.108
1433194991.300,0.107
1433194991.400,0.107
1433194991.500,0.106
1433194991.600,0.106
1433194991.700,0.105
1433194991.800,0.105
1433194991.900,0.104
1433194992.000,0.104
1433194992.100,0.104
1433194992.200,0.103
1433194992.300,0.103
1433194992.400,0.103
1433194992.500,0.103
1433194992.600,0.102
1433194992.700,0.102
1433194992.800,0.102
1433194992.900,0.102
1433194993.000,0.101
1433194993.100,0.101
1433194993.200,0.102
1433194993.300,0.102
1433194993.400,0.102
1433194993.500,0.102
1433194993.600,0.102
1433194993.700,0.103
1433194993.800,0.103
1433194993.900,0.103
1433194994.000,0.103
1433194994.100,0.103
1433194994.200,0.103
1433194994.300,0.102
1433194994.400,0.102
1433194994.500,0.102
1433194994.600,0.101
1433194994.700,0.101
1433194994.800,0.101
1433194994.900,0.101
1433194995.000,0.100
1433194995.100,0.100
1433194995.200,0.099
1433194995.300,0.098
1433194995.400,0.098
1433194995.500,0.097
1433194995.600,0.097
1433194995.700,0.096
1433194995.800,0.095
1433194995.900,0.095
1433194996.000,0.094
1433194996.100,0.093
1433194996.200,0.091
1433194996.300,0.090
1433194996.400,0.088
1433194996.500,0.087
1433194996.600,0.085
1433194996.700,0.084
1433194996.800,0.083
1433194996.900,0.081
1433194997.000,0.080
1433194997.100,0.079
1433194997.200,0.078
1433194997.300,0.077
1433194997.400,0.076
1433194997.500,0.075
1433194997.600,0.073
1433194997.700,0.072
1433194997.800,0.071
1433194997.900,0.070
1433194998.000,0.069
1433194998.100,0.069
1433194998.200,0.070
1433194998.300,0.070
1433194998.400,0.070
1433194998.500,0.070
1433194998.600,0.070
1433194998.700,0.070
1433194998.800,0.070
1433194998.900,0.070
1433194999.000,0.071
1433194999.100,0.072
1433194999.200,0.074
1433194999.300,0.076
1433194999.400,0.077
1433194999.500,0.079
1433194999.599,0.081
1433194999.699,0.083
1433194999.800,0.085
1433194999.900,0.087
1433195000.000,0.089
1433195000.099,0.091
1433195000.199,0.093
1433195000.300,0.095
1433195000.400,0.097
1433195000.500,0.099
1433195000.599,0.101
1433195000.699,0.103
1433195000.800,0.105
1433195000.900,0.107
1433195001.000,0.110
1433195001.099,0.111
1433195001.199,0.113
1433195001.300,0.115
1433195001.400,0.117
1433195001.500,0.118
1433195001.599,0.120
1433195001.699,0.122
1433195001.800,0.124
1433195001.900,0.126
1433195002.000,0.128
1433195002.099,0.129
1433195002.199,0.131
1433195002.300,0.133
1433195002.400,0.135
1433195002.500,0.136
1433195002.599,0.138
1433195002.699,0.140
1433195002.800,0.142
1433195002.900,0.144
1433195003.000,0.145
1433195003.099,0.146
1433195003.199,0.146
1433195003.300,0.146
1433195003.400,0.147
1433195003.500,0.147
1433195003.599,0.148
1433195003.699,0.148
1433195003.800,0.148
1433195003.900,0.149
1433195004.000,0.149
1433195004.099,0.149
1433195004.199,0.149
1433195004.300,0.149
1433195004.400,0.148
1433195004.500,0.148
1433195004.599,0.148
1433195004.699,0.148
1433195004.800,0.148
1433195004.900,0.148
1433195005.000,0.147
1433195005.099,0.147
1433195005.199,0.147
1433195005.300,0.147
1433195005.400,0.147
1433195005.500,0.146
1433195005.599,0.146
1433195005.699,0.146
1433195005.800,0.146
1433195005.900,0.145
1433195006.000,0.145
1433195006.099,0.145
1433195006.199,0.144
1433195006.300,0.144
1433195006.400,0.144
1433195006.500,0.143
1433195006.599,0.143
1433195006.699,0.143
1433195006.800,0.142
1433195006.900,0.142
1433195007.000,0.142
1433195007.099,0.141
1433195007.199,0.141
1433195007.300,0.141
1433195007.400,0.140
1433195007.500,0.140
1433195007.599,0.140
1433195007.699,0.140
1433195007.800,0.139
1433195007.900,0.139
1433195008.000,0.139
1433195008.099,0.139
1433195008.199,0.138
1433195008.300,0.138
1433195008.400,0.138
1433195008.500,0.138
1433195008.599,0.138
1433195008.699,0.138
1433195008.800,0.138
1433195008.900,0.138
1433195009.000,0.138
1433195009.099,0.138
1433195009.199,0.137
1433195009.300,0.137
1433195009.400,0.137
1433195009.500,0.137
1433195009.599,0.137
1433195009.699,0.137
1433195009.800,0.137
1433195009.900,0.137
1433195010.000,0.137
1433195010.099,0.137
1433195010.199,0.138
1433195010.300,0.138
1433195010.400,0.139
1433195010.500,0.139
1433195010.600,0.140
1433195010.699,0.140
1433195010.800,0.140
1433195010.900,0.141
1433195011.000,0.141
1433195011.100,0.142
1433195011.199,0.142
1433195011.300,0.143
1433195011.400,0.143
1433195011.500,0.144
1433195011.600,0.144
1433195011.699,0.145
1433195011.800,0.145
1433195011.900,0.146
1433195012.000,0.146
1433195012.100,0.146
1433195012.199,0.146
1433195012.300,0.146
1433195012.400,0.146
1433195012.500,0.146
1433195012.600,0.146
1433195012.699,0.146
1433195012.800,0.146
1433195012.900,0.146
1433195013.000,0.146
1433195013.100,0.146
1433195013.199,0.146
1433195013.300,0.146
1433195013.400,0.146
1433195013.500,0.146
1433195013.600,0.146
1433195013.699,0.145
1433195013.800,0.145
1433195013.900,0.145
1433195014.000,0.145
1433195014.100,0.145
1433195014.199,0.145
1433195014.300,0.144
1433195014.400,0.144
1433195014.500,0.144
1433195014.600,0.144
1433195014.699,0.143
1433195014.800,0.143
1433195014.900,0.143
1433195015.000,0.143
1433195015.100,0.142
1433195015.199,0.141
1433195015.300,0.141
1433195015.400,0.140
1433195015.500,0.139
1433195015.600,0.138
1433195015.699,0.138
1433195015.800,0.137
1433195015.900,0.136
1433195016.000,0.136
1433195016.100,0.135
1433195016.199,0.134
1433195016.300,0.133
1433195016.400,0.132
1433195016.500,0.131
1433195016.600,0.130
1433195016.699,0.129
1433195016.800,0.128
1433195016.900,0.127
1433195017.000,0.126
1433195017.100,0.124
1433195017.199,0.123
1433195017.300,0.122
1433195017.400,0.121
1433195017.500,0.119
1433195017.600,0.118
1433195017.699,0.117
1433195017.800,0.116
1433195017.900,0.115
1433195018.000,0.113
1433195018.100,0.112
1433195018.199,0.111
1433195018.300,0.110
1433195018.400,0.109
1433195018.500,0.108
1433195018.600,0.107
1433195018.699,0.106
1433195018.800,0.105
1433195018.900,0.104
1433195019.000,0.103
1433195019.100,0.102
1433195019.199,0.101
1433195019.300,0.101
1433195019.400,0.100
1433195019.500,0.100
1433195019.600,0.099
1433195019.699,0.099
1433195019.800,0.098
1433195019.900,0.097
1433195020.000,0.097
1433195020.100,0.097
1433195020.199,0.098
1433195020.300,0.099
1433195020.400,0.099
1433195020.500,0.100
1433195020.600,0.100
1433195020.699,0.101
1433195020.800,0.101
1433195020.900,0.102
1433195021.000,0.102
1433195021.100,0.105
1433195021.199,0.107
1433195021.300,0.109
1433195021.400,0.112
1433195021.500,0.114
1433195021.600,0.117
1433195021.699,0.119
1433195021.800,0.122
1433195021.900,0.125
1433195022.000,0.127
1433195022.100,0.130
1433195022.200,0.133
1433195022.300,0.136
1433195022.400,0.139
1433195022.500,0.142
1433195022.600,0.145
1433195022.700,0.148
1433195022.800,0.151
1433195022.900,0.154
1433195023.000,0.157
1433195023.100,0.162
1433195023.200,0.166
1433195023.300,0.170
1433195023.400,0.175
1433195023.500,0.179
1433195023.600,0.184
1433195023.700,0.188
