time,y
1433194999.400,0.681
1433194999.500,0.663
1433194999.599,0.645
1433194999.699,0.627
1433194999.800,0.608
1433194999.900,0.590
1433195000.000,0.572
1433195000.099,0.555
1433195000.199,0.538
1433195000.300,0.521
1433195000.400,0.504
1433195000.500,0.487
1433195000.599,0.471
1433195000.699,0.456
1433195000.800,0.440
1433195000.900,0.425
1433195001.000,0.410
1433195001.099,0.401
1433195001.199,0.391
1433195001.300,0.381
1433195001.400,0.372
1433195001.500,0.364
1433195001.599,0.355
1433195001.699,0.347
1433195001.800,0.339
1433195001.900,0.332
1433195002.000,0.325
1433195002.099,0.317
1433195002.199,0.309
1433195002.300,0.302
1433195002.400,0.295
1433195002.500,0.289
1433195002.599,0.283
1433195002.699,0.277
1433195002.800,0.272
1433195002.900,0.267
1433195003.000,0.263
1433195003.099,0.261
1433195003.199,0.258
1433195003.300,0.256
1433195003.400,0.253
1433195003.500,0.251
1433195003.599,0.249
1433195003.699,0.247
1433195003.800,0.245
1433195003.900,0.242
1433195004.000,0.240
1433195004.099,0.240
1433195004.199,0.240
1433195004.300,0.240
1433195004.400,0.240
1433195004.500,0.240
1433195004.599,0.239
1433195004.699,0.239
1433195004.800,0.239
1433195004.900,0.239
1433195005.000,0.239
1433195005.099,0.238
1433195005.199,0.237
1433195005.300,0.236
1433195005.400,0.236
1433195005.500,0.235
1433195005.599,0.234
1433195005.699,0.233
1433195005.800,0.233
1433195005.900,0.232
1433195006.000,0.231
1433195006.099,0.230
1433195006.199,0.229
1433195006.300,0.227
1433195006.400,0.226
1433195006.500,0.225
1433195006.599,0.224
1433195006.699,0.222
1433195006.800,0.221
1433195006.900,0.220
1433195007.000,0.219
1433195007.099,0.218
1433195007.199,0.218
1433195007.300,0.217
1433195007.400,0.216
1433195007.500,0.216
1433195007.599,0.215
1433195007.699,0.215
1433195007.800,0.214
1433195007.900,0.213
1433195008.000,0.213
1433195008.099,0.213
1433195008.199,0.213
1433195008.300,0.214
1433195008.400,0.214
1433195008.500,0.214
1433195008.599,0.215
1433195008.699,0.215
1433195008.800,0.215
1433195008.900,0.216
1433195009.000,0.216
1433195009.099,0.216
1433195009.199,0.216
1433195009.300,0.217
1433195009.400,0.217
1433195009.500,0.217
1433195009.599,0.217
1433195009.699,0.218
1433195009.800,0.218
1433195009.900,0.218
1433195010.000,0.218
1433195010.099,0.221
1433195010.199,0.223
1433195010.300,0.226
1433195010.400,0.229
1433195010.500,0.231
1433195010.600,0.234
1433195010.699,0.237
1433195010.800,0.239
1433195010.900,0.242
1433195011.000,0.245
1433195011.100,0.248
1433195011.199,0.251
1433195011.300,0.254
1433195011.400,0.257
1433195011.500,0.260
1433195011.600,0.263
1433195011.699,0.266
1433195011.800,0.269
1433195011.900,0.272
1433195012.000,0.276
1433195012.100,0.276
1433195012.199,0.276
1433195012.300,0.276
1433195012.400,0.276
1433195012.500,0.276
1433195012.600,0.276
1433195012.699,0.276
1433195012.800,0.276
1433195012.900,0.276
1433195013.000,0.276
1433195013.100,0.276
1433195013.199,0.276
1433195013.300,0.276
1433195013.400,0.277
1433195013.500,0.277
1433195013.600,0.277
1433195013.699,0.277
1433195013.800,0.278
1433195013.900,0.278
1433195014.000,0.278
